year,inflation
1913,9.78333333333333
1913,9.98333333333333
1914,9.9
1914,10.1333333333333
1915,10.0333333333333
1915,10.1833333333333
1916,10.5666666666667
1916,11.2
1917,12.35
1917,13.3
1918,14.25
1918,15.8333333333333
1919,16.6
1919,18.0666666666667
1920,20.05
1920,20.0333333333333
1921,18.1833333333333
1921,17.5166666666667
1922,16.7666666666667
1922,16.7333333333333
1923,16.8666666666667
1923,17.2333333333333
1924,17.1
1924,17.15
1925,17.3
1925,17.7833333333333
1926,17.8333333333333
1926,17.5666666666667
1927,17.4166666666667
1927,17.3
1928,17.15
1928,17.1666666666667
1929,17.0333333333333
1929,17.2833333333333
1930,16.95
1930,16.45
1931,15.5166666666667
1931,14.9
1932,13.9333333333333
1932,13.35
1933,12.6833333333333
1933,13.1833333333333
1934,13.3
1934,13.4666666666667
1935,13.7166666666667
1935,13.7333333333333
1936,13.75
1936,13.9833333333333
1937,14.25
1937,14.5166666666667
1938,14.1333333333333
1938,14.05
1939,13.8666666666667
1939,13.95
1940,14
1940,14.0166666666667
1941,14.3
1941,15.15
1942,16.0333333333333
1942,16.6333333333333
1943,17.2333333333333
1943,17.3833333333333
1944,17.4666666666667
1944,17.7166666666667
1945,17.8666666666667
1945,18.1166666666667
1946,18.3666666666667
1946,20.6666666666667
1947,21.7833333333333
1947,22.8666666666667
1948,23.7333333333333
1948,24.35
1949,23.8666666666667
1949,23.75
1950,23.6166666666667
1950,24.5166666666667
1951,25.75
1951,26.1666666666667
1952,26.4
1952,26.7
1953,26.6333333333333
1953,26.9
1954,26.8833333333333
1954,26.8166666666667
1955,26.7
1955,26.85
1956,26.9166666666667
1956,27.45
1957,27.85
1957,28.3333333333333
1958,28.7833333333333
1958,28.9333333333333
1959,28.9833333333333
1959,29.3166666666667
1960,29.45
1960,29.7
1961,29.8
1961,29.9833333333333
1962,30.1333333333333
1962,30.3666666666667
1963,30.4833333333333
1963,30.7666666666667
1964,30.9166666666667
1964,31.1166666666667
1965,31.35
1965,31.6666666666667
1966,32.15
1966,32.7666666666667
1967,33.0666666666667
1967,33.65
1968,34.3666666666667
1968,35.2
1969,36.1333333333333
1969,37.2333333333333
1970,38.3166666666667
1970,39.3333333333333
1971,40.1166666666667
1971,40.8666666666667
1972,41.4333333333333
1972,42.2
1973,43.4166666666667
1973,45.3833333333333
1974,47.8666666666667
1974,50.75
1975,52.8333333333333
1975,54.8
1976,56.1166666666667
1976,57.7
1977,59.6833333333333
1977,61.5333333333333
1978,63.7333333333333
1978,66.7333333333333
1979,70.2666666666667
1979,74.8833333333333
1980,80.3833333333333
1980,84.4333333333333
1981,88.8166666666667
1981,93.0333333333333
1982,95.1833333333333
1982,97.8166666666667
1983,98.4833333333333
1983,100.716666666667
1984,102.9
1984,104.9
1985,106.6
1985,108.5
1986,109.1
1986,110.1
1987,112.4
1987,114.9
1988,116.8
1988,119.7
1989,122.7
1989,125.3
1990,128.7
1990,132.6
1991,135.2
1991,137.2
1992,139.2
1992,141.4
1993,143.7
1993,145.3
1994,147.2
1994,149.3
1995,151.5
1995,153.2
1996,155.8
1996,157.9
1997,159.9
1997,161.2
1998,162.3
1998,163.7
1999,165.4
1999,167.8
2000,170.8
2000,173.6
2001,176.6
2001,177.5
2002,178.9
2002,180.9
2003,183.3
2003,184.6
2004,187.6
2004,190.2
2005,193.2
2005,197.4
2006,200.6
2006,202.6
2007,205.709
2007,208.976
2008,214.429
2008,216.177
2009,213.139
2009,215.935
2010,217.535
2010,218.576
2011,223.598
2011,226.28
2012,228.85
2012,230.338
2013,232.366
2013,233.548
2014,236.384
2014,237.088
2015,236.265
2015,237.769
2016,238.778
2016,241.237
2017,244.076
2017,
